,PostalCode,Borough,Neighbourhood
42,M4L,East Toronto,"The Beaches West, India Bazaar"
43,M4M,East Toronto,Studio District
44,M4N,Central Toronto,Lawrence Park
45,M4P,Central Toronto,Davisville North
46,M4R,Central Toronto,North Toronto West
47,M4S,Central Toronto,Davisville
48,M4T,Central Toronto,"Summerhill East, Moore Park"
49,M4V,Central Toronto,"South Hill, Summerhill West, Rathnelly, Forest Hill SE, Deer Park"
50,M4W,Downtown Toronto,Rosedale
51,M4X,Downtown Toronto,"St. James Town, Cabbagetown"
52,M4Y,Downtown Toronto,Church and Wellesley
53,M5A,Downtown Toronto,Harbourfront
54,M5B,Downtown Toronto,"Garden District, Ryerson"
55,M5C,Downtown Toronto,St. James Town
56,M5E,Downtown Toronto,Berczy Park
57,M5G,Downtown Toronto,Central Bay Street
58,M5H,Downtown Toronto,"Adelaide, Richmond, King"
59,M5J,Downtown Toronto,"Harbourfront East, Union Station, Toronto Islands"
60,M5K,Downtown Toronto,"Design Exchange, Toronto Dominion Centre"
61,M5L,Downtown Toronto,"Commerce Court, Victoria Hotel"
62,M5M,North York,"Bedford Park, Lawrence Manor East"
63,M5N,Central Toronto,Roselawn
64,M5P,Central Toronto,"Forest Hill North, Forest Hill West"
65,M5R,Central Toronto,"Yorkville, The Annex, North Midtown"
66,M5S,Downtown Toronto,"University of Toronto, Harbord"
67,M5T,Downtown Toronto,"Kensington Market, Chinatown, Grange Park"
68,M5V,Downtown Toronto,"King and Spadina, Railway Lands, South Niagara, CN Tower, Island airport, Harbourfront West, Bathurst Quay"
69,M5W,Downtown Toronto,Stn A PO Boxes 25 The Esplanade
70,M5X,Downtown Toronto,"Underground city, First Canadian Place"
71,M6A,North York,"Lawrence Heights, Lawrence Manor"
72,M6B,North York,Glencairn
73,M6C,York,Humewood-Cedarvale
74,M6E,York,Caledonia-Fairbanks
75,M6G,Downtown Toronto,Christie
76,M6H,West Toronto,"Dufferin, Dovercourt Village"
77,M6J,West Toronto,"Little Portugal, Trinity"
78,M6K,West Toronto,"Exhibition Place, Brockton, Parkdale Village"
79,M6L,North York,"Downsview, North Park, Upwood Park"
80,M6M,York,"Silverthorn, Mount Dennis, Keelesdale, Del Ray"
81,M6N,York,"The Junction North, Runnymede"
82,M6P,West Toronto,"High Park, The Junction South"
83,M6R,West Toronto,"Roncesvalles, Parkdale"
84,M6S,West Toronto,"Runnymede, Swansea"
85,M7A,Downtown Toronto,Queen's Park
86,M7R,Mississauga,Canada Post Gateway Processing Centre
87,M7Y,East Toronto,Business Reply Mail Processing Centre 969 Eastern
88,M8V,Etobicoke,"Mimico South, New Toronto, Humber Bay Shores"
89,M8W,Etobicoke,"Long Branch, Alderwood"
90,M8X,Etobicoke,"Old Mill North, Montgomery Road, The Kingsway"
91,M8Y,Etobicoke,"Old Mill South, King's Mill Park, Humber Bay, The Queensway East, Royal York South East, Sunnylea, Mimico NE, Kingsway Park South East"
92,M8Z,Etobicoke,"Kingsway Park South West, Mimico NW, The Queensway West, South of Bloor, Royal York South West"
93,M9A,Queen's Park,Queen's Park
94,M9B,Etobicoke,"Cloverdale, West Deane Park, Princess Gardens, Martin Grove, Islington"
95,M9C,Etobicoke,"Old Burnhamthorpe, Markland Wood, Eringate, Bloordale Gardens"
96,M9L,North York,Humber Summit
97,M9M,North York,"Humberlea, Emery"
98,M9N,York,Weston
99,M9P,Etobicoke,Westmount
100,M9R,Etobicoke,"Richview Gardens, Kingsview Village, St. Phillips, Martin Grove Gardens"
101,M9V,Etobicoke,"Albion Gardens, Beaumond Heights, Humbergate, Jamestown, Mount Olive, South Steeles, Thistletown, Silverstone"
